;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y capítulos del presupuesto de gastos;
;PRESUPUESTO 2025-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;;;Total;
28.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;;;;1.509.766,11;230.000,00;;;;1.739.766,11;
29;MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;41.801,11;25.181,87;5,00;4.145.544,13;;6.683,85;21.816,95;92,88;;;;4.241.125,79;
29.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;18.456,09;8.668,94;;;;1.962,00;;92,88;;;;29.179,91;
29.02; SECRETARÍA GENERAL TÉCNICA;2.227,42;279,95;;11,30;;;;;;;;2.518,67;
29.03; SECRETARÍA DE ESTADO DE DERECHOS SOCIALES;1.711,10;261,33;;3.666.553,33;;;12.475,50;;;;;3.681.001,26;
29.04; DIRECCIÓN GENERAL DE DERECHOS DE LOS ANIMALES;567,81;2.298,90;;4.615,00;;;;;;;;7.481,71;
29.05; DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES;3.994,28;2.215,34;;430.022,37;;;7.000,00;;;;;443.231,99;
29.06; DIRECCIÓN GENERAL DE DERECHOS DE LAS PERSONAS CON DISCAPACIDAD;1.930,51;418,50;;5.420,00;;;;;;;;7.769,01;
29.07; DIRECCIÓN GENERAL DE AGENDA 2030;1.790,53;3.454,44;;19.400,00;;;;;;;;24.644,97;
29.08; SECRETARÍA GENERAL DE CONSUMO Y JUEGO;386,09;934,68;;11.711,67;;;2.341,45;;;;;15.373,89;
29.09; DIRECCIÓN GENERAL DE CONSUMO;8.405,13;2.584,19;5,00;5.585,46;;980,00;;;;;;17.559,78;
29.10; DIRECCIÓN GENERAL DE ORDENACIÓN DEL JUEGO;2.332,15;4.065,60;;2.225,00;;3.741,85;;;;;;12.364,60;
30;MINISTERIO DE IGUALDAD;14.532,81;17.212,68;;434.042,47;;26.753,74;10.365,00;25,00;;;;502.931,70;
30.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;9.185,15;3.470,37;;;;620,20;;25,00;;;;13.300,72;
30.02; SECRETARÍA DE ESTADO DE IGUALDAD Y PARA LA ERRADICACIÓN DE LA VIOLENCIA CONTRA LAS MUJERES;2.791,60;7.025,04;;380.424,47;;9.510,00;10.365,00;;;;;410.116,11;
30.03; DELEGACIÓN DEL GOBIERNO CONTRA LA VIOLENCIA DE GÉNERO;2.556,06;6.717,27;;53.618,00;;16.623,54;;;;;;79.514,87;
31;MINISTERIO DE JUVENTUD E INFANCIA;11.260,85;3.668,07;;49.090,25;;7.075,00;90.299,22;;;;;161.393,39;
31.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;8.011,41;1.322,41;;;;75,00;;;;;;9.408,82;
31.02; SECRETARÍA GENERAL TÉCNICA;953,01;34,84;;;;;;;;;;987,85;
31.03; SECRETARÍA DE ESTADO DE JUVENTUD E INFANCIA;253,20;25,20;;30,00;;;;;;;;308,40;
31.04; DIRECCIÓN GENERAL DE DERECHOS DE LA INFANCIA Y LA ADOLESCENCIA;2.043,23;2.285,62;;49.060,25;;;299,22;;;;;53.688,32;
31.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;;;7.000,00;90.000,00;;;;;97.000,00;
32;MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;60.225,00;710.792,52;270,00;34.820.838,35;;14.281,00;1.540,20;10.005.661,15;;;;45.613.608,22;
32.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;23.420,59;20.509,10;70,00;381,24;;13.281,00;;55,00;;;;57.716,93;
32.02; SECRETARÍA DE ESTADO DE SEGURIDAD SOCIAL Y PENSIONES;10.968,65;;;34.726.029,32;;;1.240,20;10.005.606,15;;;;44.743.844,32;
32.03; SECRETARÍA DE ESTADO DE MIGRACIONES;23.133,92;690.283,42;200,00;94.377,79;;1.000,00;300,00;;;;;809.295,13;
32.04; SECRETARÍA GENERAL DE INCLUSIÓN;2.701,84;;;50,00;;;;;;;;2.751,84;
33;MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;60.674,80;23.657,05;;77.185,59;;419.254,05;3.925.811,70;979.837,62;;;;5.486.420,81;
33.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;13.000,85;18.292,73;;;;2.385,97;;12,22;;;;33.691,77;
33.02; SECRETARÍA GENERAL TÉCNICA;2.669,79;56,00;;;;;;;;;;2.725,79;
33.03; SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES;19.324,78;1.958,53;;2.864,78;;18.881,04;6.750,00;7.000,00;;;;56.779,13;
