seccion_cod,servicio_cod,dir3_cod,denominacion,dir3_padre_cod,ministerio_dir3_cod,ministerio_denominacion,nivel_jerarquico,nivel_organico,nivel_organico_senal,tipo_entidad,estado,fecha_inicio,fecha_fin
,,E02954403,Agregaduria de Defensa Embajada de España en Grecia (ATENAS),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02954703,Agregaduria de Defensa Embajada de España en Italia (ROMA),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02954903,Agregaduria de Defensa Embajada de España en Corea del Sur (SEUL),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02955103,Agregaduria de Defensa Embajada de España en Mexico (MEXICO),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02955203,Agregaduria de Defensa Embajada de España en Marruecos (RABAT),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02955803,Agregaduria de Defensa Embajada de España en Portugal (LISBOA),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02955903,Agregaduria de Defensa Embajada de España en Rusia (MOSCU),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02956003,Agregaduria de Defensa Embajada de España en Arabia Saudita (RIAD),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02956403,Agregaduria de Defensa Embajada de España en Tunez (TUNEZ),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02956503,Agregaduria de Defensa Embajada de España en Turquia (ANKARA),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02956603,Agregaduria de Defensa Embajada de España en Egipto (EL CAIRO),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02956703,Agregaduria de Defensa Embajada de España en el Reino Unido (LONDRES),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02956803,Agregaduria de Defensa Embajada de España en los Estados Unidos de America (WASHINGTON),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02957002,Representacion Permanente de España en el Consejo de la OTAN (BRUSELAS),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2002-09-08,
,,E02957502,Mision Permanente de España ante las Naciones Unidas (NUEVA YORK),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2002-09-08,
