ejercicio,seccion_cod,servicio_cod,servicio_denominacion,dir3_cod,dir3_denominacion,match_tipo,match_detalle
2026,31,03,SECRETARÍA DE ESTADO DE JUVENTUD E INFANCIA,E05238101,Secretaría de Estado de Juventud e Infancia,exacto,denominacion_normalizada
2026,31,04,DIRECCIÓN GENERAL DE DERECHOS DE LA INFANCIA Y LA ADOLESCENCIA,E05079401,Dirección General de Derechos de la Infancia y de la Adolescencia,por_denominacion,tokens_significativos
2026,31,50,MECANISMO DE RECUPERACIÓN Y RESILIENCIA,,,sin_match,servicio_instrumental_prtr
2026,32,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05072501,"Ministerio de Inclusión, Seguridad Social y Migraciones",por_denominacion,regla_servicios_generales
2026,32,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05075701,"Subsecretaría de Inclusión, Seguridad Social y Migraciones",por_denominacion,regla_servicios_generales
2026,32,02,SECRETARÍA DE ESTADO DE SEGURIDAD SOCIAL Y PENSIONES,E05072801,Secretaría de Estado de la Seguridad Social y Pensiones,por_denominacion,tokens_significativos
2026,32,03,SECRETARÍA DE ESTADO DE MIGRACIONES,E05073101,Secretaría de Estado de Migraciones,exacto,denominacion_normalizada
2026,32,04,SECRETARÍA GENERAL DE INCLUSIÓN,E05082401,Secretaría General de Inclusión,exacto,denominacion_normalizada
2026,33,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05251701,Ministerio para la Transformación Digital y de la Función Pública,por_denominacion,regla_servicios_generales
2026,33,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05253201,Subsecretaria para la Transformacion Digital y de la Funcion Publica,por_denominacion,regla_servicios_generales
2026,33,02,SECRETARÍA GENERAL TÉCNICA,EA0054369,Secretaría General Técnica,exacto,denominacion_normalizada
2026,33,03,SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES,E05252001,Secretaria de Estado de Telecomunicaciones e Infraestructuras Digitales,exacto,denominacion_normalizada
2026,33,04,SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL,E05252301,Secretaria de Estado de Digitalización e Inteligencia Artificial,exacto,denominacion_normalizada
2026,33,06,SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA,E05252501,Secretaria de Estado de Función Pública,exacto,denominacion_normalizada
2026,33,50,MECANISMO DE RECUPERACIÓN Y RESILIENCIA,,,sin_match,servicio_instrumental_prtr
2026,34,01,DIRECCIÓN GENERAL FONDOS COMUNITARIOS. RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA,,,sin_match,seccion_sin_ministerio_dir3
2026,35,01,DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,03,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,04,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,05,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS,,,sin_match,seccion_sin_ministerio_dir3
2026,36,06,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANTABRIA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,08,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. REGIÓN DE MURCIA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,09,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. COMUNIDAD VALENCIANA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,11,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,12,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS,,,sin_match,seccion_sin_ministerio_dir3
2026,36,14,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,17,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN,,,sin_match,seccion_sin_ministerio_dir3
2026,36,18,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,19,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA,,,sin_match,seccion_sin_ministerio_dir3
2026,36,20,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.,,,sin_match,seccion_sin_ministerio_dir3
2026,37,01,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. COMUNIDADES AUTÓNOMAS,,,sin_match,seccion_sin_ministerio_dir3
2026,37,02,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES,,,sin_match,seccion_sin_ministerio_dir3
2026,38,01,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PAÍS VASCO,,,sin_match,seccion_sin_ministerio_dir3
2026,38,02,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,03,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,04,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,05,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS,,,sin_match,seccion_sin_ministerio_dir3
2026,38,06,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANTABRIA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,07,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. LA RIOJA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,10,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ARAGÓN,,,sin_match,seccion_sin_ministerio_dir3
2026,38,11,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,12,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS,,,sin_match,seccion_sin_ministerio_dir3
2026,38,13,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. NAVARRA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,14,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,17,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN,,,sin_match,seccion_sin_ministerio_dir3
2026,38,18,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,19,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA,,,sin_match,seccion_sin_ministerio_dir3
2026,38,20,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.,,,sin_match,seccion_sin_ministerio_dir3
2026,38,21,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES,,,sin_match,seccion_sin_ministerio_dir3
